year;month;day;hora;marginalPT;marginalES;
2018;01;01;1;28.1;6.74;
2018;01;01;2;33;4.74;
2018;01;01;3;32.9;3.66;
2018;01;01;4;28.1;2.3;
2018;01;01;5;27.6;2.3;
2018;01;01;6;24.6;2.06;
2018;01;01;7;20.1;2.06;
2018;01;01;8;19.9;2.06;
2018;01;01;9;19.84;2.3;
2018;01;01;10;19.9;2.3;
2018;01;01;11;19.9;2.3;
2018;01;01;12;19.9;2.3;
2018;01;01;13;23.6;2.3;
2018;01;01;14;25.1;2.3;
2018;01;01;15;23.6;5;
2018;01;01;16;24.6;5;
2018;01;01;17;25.1;5;
2018;01;01;18;27.6;8.85;
2018;01;01;19;27.6;15.93;
2018;01;01;20;28.1;22.02;
2018;01;01;21;32.9;20;
2018;01;01;22;28.1;21.95;
2018;01;01;23;28.1;23.52;
2018;01;01;24;27.6;16.35;
2018;01;02;1;19.9;14.43;
2018;01;02;2;27.6;10.26;
2018;01;02;3;19.9;7.48;
2018;01;02;4;19.84;4.52;
2018;01;02;5;19.1;4.24;
2018;01;02;6;19.9;8.36;
2018;01;02;7;22.58;22.58;
2018;01;02;8;41.92;41.92;
2018;01;02;9;47.95;47.95;
2018;01;02;10;49.9;49.9;
2018;01;02;11;50.5;50.5;
2018;01;02;12;49.7;49.7;
2018;01;02;13;48.16;48.16;
2018;01;02;14;48.02;48.02;
2018;01;02;15;47.64;47.64;
2018;01;02;16;46.38;46.38;
2018;01;02;17;46.4;46.4;
2018;01;02;18;49.71;49.71;
2018;01;02;19;52.25;52.25;
2018;01;02;20;53.47;53.47;
2018;01;02;21;55.54;55.54;
2018;01;02;22;55.02;55.02;
2018;01;02;23;50.5;50.5;
2018;01;02;24;39.63;39.63;
2018;01;03;1;28.1;12.14;
2018;01;03;2;40.69;5.48;
2018;01;03;3;30.69;5;
2018;01;03;4;30.69;2.3;
2018;01;03;5;30.69;2.3;
2018;01;03;6;30.69;5;
2018;01;03;7;39.11;12.25;
2018;01;03;8;41.69;41.69;
2018;01;03;9;51.76;51.76;
2018;01;03;10;53.9;53.9;
2018;01;03;11;54.45;54.45;
2018;01;03;12;53.42;53.42;
2018;01;03;13;52.26;52.26;
2018;01;03;14;52;52;
2018;01;03;15;50.76;50.76;
2018;01;03;16;49.96;49.96;
2018;01;03;17;49.48;49.48;
2018;01;03;18;51;51;
2018;01;03;19;53.05;53.05;
2018;01;03;20;53.47;53.47;
2018;01;03;21;53.9;53.9;
2018;01;03;22;53.42;53.42;
2018;01;03;23;51.01;51.01;
2018;01;03;24;41.69;40.75;
2018;01;04;1;41.11;30;
2018;01;04;2;44.19;7.04;
2018;01;04;3;42.11;4;
2018;01;04;4;41.11;2.63;
2018;01;04;5;41.09;4.99;
2018;01;04;6;40.08;11.08;
2018;01;04;7;39.11;22.34;
2018;01;04;8;39.1;34.17;
2018;01;04;9;47.23;47.23;
2018;01;04;10;49.14;49.14;
2018;01;04;11;49.63;49.63;
2018;01;04;12;48.86;48.86;
2018;01;04;13;48.36;48.36;
2018;01;04;14;48.19;48.19;
2018;01;04;15;45.58;45.58;
